Sl.No,TICKET ID,SELLER FIRST NAME,SELLER LAST NAME,SELLER MOBILE,WINNER TYPE,WINNING AMOUNT,COUPONS,POS NUMBER,STORE NAME
1,UWINN4156735,POPULAR FRESH FOODSTUFF,POPULAR FRESH,507832180,1st Prize,iPhone 15 Pro,CC38764,1234,DEV STORE
2,UWINN5716498,NASEEM ALBAHAR FOODSTUFF TRADING L.L.C,NASEEM ALBAHAR,588501817,2nd Prize ,Apple Watch,AP65749,1234,DEV STORE
3,UWINN2631536,JASEER KAMALA KIOSK,JASEER,777777717,3rd  prize,AirPods Pro 2,AP59106,1234,DEV STORE
4,UWINN1049349,KARAZ ALMADINA GROCERY LLC,KARAZ,521467329,Sub Winner,100 AED,HF45813,1235,DEV STORE
5,UWINN8652685,RAJASTHAN FOODSTUFF TRADING LLC,RAJASTHAN FOODSTUFF,508471796,Sub Winner,100 AED,HF09584,1236,DEV STORE
6,UWINN8187757,MOBY ROOT  MOBILE,MOBY ROOT ,588975774,Sub Winner,100 AED,HF38679,1237,DEV STORE
7,UWINN8187757,YOUSUF POOJA GURUNG KIOSK,YOUSUF,555555604,Sub Winner,100 AED,HF36701,1238,DEV STORE
8,UWINN1101160,SAMIR ALNOOBI GROCERY,SAMIR AL NOOBI ,558533234,Sub Winner,100 AED,HF05827,1239,DEV STORE
9,UWINN1101160,JASEER NIRMALA KIOSK,JASEER,777777723,Sub Winner,100 AED,HF62958,1240,DEV STORE
10,UWINN1101160,JASSER ICAD  KIOSK,JASSER ICAD,555555625,Sub Winner,50 AED,HF98410,1241,DEV STORE
11,UWINN2404486,JASEER DIKSHA KIOSK,JASEER,777777706,Sub Winner,50 AED,HF18054,1242,DEV STORE
12,UWINN7601104,MATARAL MADINA LLC,MATARAL MADINA LLC,502921108,Sub Winner,50 AED,HF71652,1243,DEV STORE
13,UWINN1011499,MOBY ROOT  MOBILE,MOBY ROOT ,588975774,Sub Winner,50 AED,HF78025,1244,DEV STORE
14,UWINN8767636,WADI ALSHAMS MINI MART LLC,WADI ALSHAMS,588788719,Sub Winner,50 AED,HF57106,1245,DEV STORE
15,UWINN4485982,AFRAH AL MADEENA GROCERY,AFRAH AL,553655805,Sub Winner,50 AED,HFPQMEK,1246,DEV STORE
